id,categorie,question,reponse_attendue,outils,reponse_obtenue,verdict,justification
TC-11,Recommandation ML,"Je viens d'une série C avec d'excellentes notes en physique et robotique, moyenne générale 16/20. Recommande-moi 2 parcours par ordre de compatibilité.",L'agent invoque l'outil ML de ranking (classer_parcours) et affiche les résultats scorés.,"enregistrer_profil, enregistrer_profil, enregistrer_profil, enregistrer_profil, recommander_parcours","Bonjour ! En tant qu'assistant d'orientation de l'ISPM, je suis ravi de t'aider à explorer les opportunités qui s'offrent à toi.

Avec ton excellent profil (série C, moyenne de 16/20, fort intérêt pour la physique et la robotique), tu es éligible à l'ensemble des filières scientifiques et techniques de l'ISPM.

Voici deux parcours recommandés pour toi, basés sur ton profil scientifique :

### 1. ESIIA (Électronique & Systèmes Embarqués)
Ce parcours est particulièrement cohérent avec ton intérêt pour la **robotique**. Il te permettra d'approfondir tes connaissances en physique appliquée et en électronique, des domaines clés pour la conception de systèmes intelligents.
*   **Pourquoi ce choix :** Il capitalise directement sur tes compétences en physique et ton attrait pour la robotique.

### 2. ISAIA (Informatique & Statistiques Appliquées à l'IA)
Si tu souhaites coupler tes bases scientifiques avec les nouvelles technologies, ce parcours est idéal. Il est très valorisé pour les profils issus de série C qui possèdent une forte capacité d'abstraction et de logique.
*   **Pourquoi ce choix :** Il offre une excellente synergie avec ton niveau académique élevé et te prépare aux métiers d'avenir dans le numérique.

---

**Conseils pour ton orientation :**
*   **Prérequis :** Tu possèdes déjà les bases scientifiques nécessaires pour réussir dans ces filières. Je t'encourage à maintenir cette rigueur dans tes études supérieures.
*   **Source :** Pour plus de détails sur le contenu pédagogique de chaque filière, je t'invite à consulter le site officiel de l'ISPM : [https://ispm-edu.com/](https://ispm-edu.com/).

**Note importante :** Cette recommandation est une aide à la décision basée sur ton profil. La décision finale d'admission relève exclusivement de la commission pédagogique de l'ISPM.

Souhaites-tu que nous approfondissions les différences entre ces deux parcours ou que je te présente d'autres options ?",SUCCÈS,outil ML appelé + recommandation de parcours présentée
TC-12,Recommandation ML,"Je suis en série OSE avec 15/20 en SES, je préfère le design d'interface, la gestion de projet et le contact client. Quel est mon score d'adéquation avec IGGLIA ?",L'agent exécute calculer_adequation,"enregistrer_profil, enregistrer_profil, enregistrer_profil, enregistrer_profil, enregistrer_profil, recommander_parcours","Bonjour ! En tant qu'assistant d'orientation de l'ISPM, je suis ravi de vous aider dans votre réflexion.

Concernant votre profil (série OSE, 15/20 en SES) et votre intérêt pour le parcours **IGGLIA** (Gestion & Informatique), voici les éléments à retenir :

### Éligibilité
Le parcours **IGGLIA** est effectivement l'une des rares filières informatiques de l'ISPM ouverte aux bacheliers de la série **OSE**, en plus des séries scientifiques (C, D, S). Vous êtes donc éligible pour postuler à cette formation.

### Analyse de votre profil
Bien que vous soyez éligible, le système d'analyse (Prolog) indique une adéquation technique neutre pour le moment, car vos intérêts (design d'interface, gestion de projet, contact client) sont très orientés vers la dimension ""gestion/relationnel"" du métier, tandis que le cursus IGGLIA comporte une base technique informatique importante.

*   **Points forts :** Votre profil OSE est parfaitement adapté à la composante ""Gestion"" de la filière.
*   **Conseils :** Si vous choisissez IGGLIA, préparez-vous à renforcer vos bases en logique informatique et en programmation, qui sont des piliers du cursus.

### Autres pistes
Au vu de votre intérêt pour la gestion de projet et le contact client, vous pourriez également explorer :
*   **CAA (Commerce, Langues, Économie internationale) :** Très axé sur le relationnel, le commerce et l'économie, ce qui correspond bien à votre background en SES.

### Rappel important
Ces informations constituent une aide à la décision basée sur votre profil. La décision finale d'admission relève exclusivement de la **commission pédagogique de l'ISPM**.

Pour plus de détails sur les programmes, je vous invite à consulter le site officiel : **Source : Site officiel ISPM — https://ispm-edu.com/**

Souhaitez-vous que je compare plus en détail le parcours IGGLIA avec une autre filière, ou avez-vous besoin d'informations sur les modalités d'inscription ?",SUCCÈS,outil ML appelé + recommandation de parcours présentée
TC-13,Recommandation ML,"Je suis en série S avec 17/20 en physique, passionné par l'électronique embarquée et les capteurs d'objets connectés. Que devrais-je choisir ?",L'agent identifie le profil via le modèle ML et justifie la prédiction en s'appuyant sur les matières du parcours.,"enregistrer_profil, enregistrer_profil, rechercher_docs, recommander_parcours","Bonjour ! C'est un excellent profil. Avec votre série S et votre solide performance en physique (17/20), vous avez un profil très prometteur pour les filières techniques de l'ISPM.

Au regard de votre passion pour **l'électronique embarquée et les objets connectés**, le parcours **ESIIA (Électronique et Systèmes Embarqués)** semble être le plus en adéquation avec vos intérêts.

### Pourquoi ce choix ?
Le parcours **ESIIA** est spécifiquement conçu pour former des ingénieurs capables de concevoir des systèmes électroniques complexes, ce qui inclut naturellement la programmation et l'intégration de capteurs pour les objets connectés.

Voici quelques points clés :
*   **Compatibilité :** En tant que bachelier de série S, vous remplissez les conditions d'éligibilité pour les filières informatiques et de génie industriel de l'ISPM.
*   **Matières dominantes :** Vous y retrouverez l'électronique, les mathématiques et la programmation, qui sont au cœur de votre domaine de prédilection.
*   **Source :** Vous pouvez consulter les détails des formations sur le site officiel de l'ISPM — https://ispm-edu.com/

### Conseils pour la suite :
1.  **Prérequis :** Votre base solide en physique est un atout majeur. Pour vous préparer, je vous conseille de continuer à approfondir vos connaissances en algorithmique et en logique de programmation, qui sont des piliers de cette formation.
2.  **Démarche :** L'admission à l'ISPM repose sur l'étude de votre dossier académique et un entretien pédagogique. Je vous recommande de préparer cet entretien en mettant en avant vos projets personnels ou vos expériences liées à l'électronique.

**Note importante :** Cette recommandation est une aide à la décision basée sur votre profil. La décision finale d'admission relève exclusivement de la commission pédagogique de l'ISPM.

Souhaitez-vous que je compare le programme de l'ESIIA avec une autre filière, ou avez-vous besoin d'informations sur les modalités d'inscription ?",SUCCÈS,outil ML appelé + recommandation de parcours présentée
TC-14,Recommandation ML,"Série S, j'ai des notes moyennes en maths (10/20) mais très fortes en algo (18/20) et je veux créer ma startup. Quel parcours recommandes-tu ?",L'agent combine la prédiction ML avec l'analyse des points forts (identifier_points_forts).,"enregistrer_profil, enregistrer_profil, enregistrer_profil, enregistrer_profil, recommander_parcours","Bonjour ! Ravi de t'accompagner dans ton projet de création de startup. Avec ton bac S et ton excellente maîtrise de l'algorithmique (18/20), tu as un profil très prometteur pour les filières technologiques de l'ISPM.

Bien que tes notes en mathématiques soient moyennes, ta forte compétence en algorithmique est un atout majeur pour réussir dans nos filières informatiques.

### Recommandations de parcours
Compte tenu de ton profil, je te suggère de te tourner vers le **Pôle Informatique & Télécommunications**. Ces filières sont parfaitement adaptées pour acquérir les compétences techniques nécessaires au développement de solutions innovantes :

*   **ISAIA (Informatique & Statistiques Appliquées à l'IA)** : Idéal si tu souhaites intégrer l'intelligence artificielle au cœur de ta future startup.
*   **IMTICIA (Multimédia & Technologies de l'Information)** : Très pertinent si ton projet est orienté vers le développement d'applications web ou mobiles.
*   **IGGLIA (Gestion & Informatique)** : Un excellent choix pour allier tes compétences techniques à une vision managériale, ce qui est crucial pour un créateur de startup.

### Conseils pour ton projet
*   **Prérequis** : En tant que bachelier scientifique, tu es éligible à l'ensemble de ces parcours. Ton défi sera de consolider tes bases en mathématiques, car elles soutiennent la logique algorithmique avancée.
*   **Esprit entrepreneurial** : Au-delà de la technique, n'hésite pas à t'intéresser aux modules de gestion ou de finance proposés au sein de l'ISPM pour compléter ton profil technique.

Pour plus de détails sur le contenu pédagogique de chaque filière, je t'invite à consulter le site officiel de l'ISPM : [https://ispm-edu.com/](https://ispm-edu.com/).

*Note importante : Cette recommandation est une aide à la décision basée sur ton profil. La décision finale d'admission relève exclusivement de la commission pédagogique de l'ISPM.*

Souhaites-tu que nous approfondissions les différences entre deux de ces parcours informatiques ?",SUCCÈS,outil ML appelé + recommandation de parcours présentée
TC-15,Recommandation ML,"Je suis en série S avec 18/20 en maths, je souhaite travailler dans l'IA médicale à l'avenir. Quel parcours correspond à mes préférences professionnelles ?",L'agent associe les aspirations métiers au modèle de recommandation ML et argumente le choix.,"enregistrer_profil, enregistrer_profil, enregistrer_profil, rechercher_docs, recommander_parcours","Bonjour ! En tant qu'assistant d'orientation de l'ISPM, je suis ravi de t'aider à préparer ton avenir.

Avec ton bac série S et ton excellent niveau en mathématiques (18/20), tu as un profil très solide pour intégrer nos filières scientifiques.

### Ton projet : IA Médicale
Pour travailler dans le domaine de l'IA appliquée à la santé, le pôle **Informatique & Télécommunications** est le plus pertinent. Au sein de l'ISPM, le parcours **ISAIA (Informatique & Statistiques Appliquées à l'IA)** est particulièrement adapté, car il te permettra d'acquérir les compétences techniques nécessaires en programmation, statistiques et intelligence artificielle.

Voici les parcours du pôle informatique accessibles avec ton bac S :
*   **ISAIA** : Informatique & Statistiques Appliquées à l'IA (le plus proche de ton projet).
*   **ESIIA** : Électronique & Systèmes Embarqués.
*   **IMTICIA** : Multimédia & Technologies de l'Information.
*   **IGGLIA** : Gestion & Informatique.

### Analyse de ton profil
Bien que le modèle de recommandation n'ait pas trouvé de correspondance directe avec ton métier cible exact (l'IA médicale étant un domaine de spécialisation très pointu), ton profil scientifique est parfaitement éligible à ces parcours.

**Conseils de préparation :**
*   Tu possèdes déjà les bases académiques nécessaires (série S et très bon niveau en maths).
*   Pour renforcer ton projet en IA médicale, je te conseille de t'intéresser dès maintenant aux bases de données et aux langages de programmation (comme Python), qui sont au cœur de l'IA.

Tu peux consulter le détail de ces formations sur le site officiel de l'ISPM : [https://ispm-edu.com/](https://ispm-edu.com/).

**Note importante :** Cette analyse est une aide à la décision basée sur ton profil académique. La décision finale d'admission relève exclusivement de la commission pédagogique de l'ISPM.

Souhaites-tu que nous comparions deux de ces parcours informatiques pour t'aider à affiner ton choix ?",SUCCÈS,outil ML appelé + recommandation de parcours présentée
TC-16,Multi-sources / multi-étapes,Je veux devenir Data Scientist : quel parcours dois-je choisir et ai-je les prérequis si je viens de série A2 ?,L'agent vérifie le parcours cible via l'ontologie/RAG,rechercher_docs,"Bonjour. Je suis ORIENT'IA, votre assistant d'orientation à l'ISPM.

Pour répondre à votre question sur le métier de **Data Scientist**, le parcours **ISAIA** (Informatique et Statistique Appliquée) est celui qui correspond le mieux à ce projet professionnel.

Cependant, je dois vous informer d'une règle importante concernant les conditions d'admission à l'ISPM (Source : Site officiel ISPM — https://ispm-edu.com/) :

Les filières informatiques, dont fait partie le parcours **ISAIA**, sont **strictement réservées aux bacheliers des séries scientifiques (C, D, S)**. En tant que titulaire d'un baccalauréat de **série A2 (littéraire)**, vous n'êtes malheureusement pas éligible à ce parcours spécifique.

Je comprends que cela puisse être décevant, mais je suis là pour vous aider à trouver une voie qui vous correspond parmi les filières accessibles aux bacheliers littéraires à l'ISPM, telles que :
*   **CAA** : Commerce et Administration des Affaires
*   **DTJA** : Droit et Techniques Juridiques des Affaires
*   **TEE** : Tourisme et Environnement
*   **TEH** : Techniques d'Hôtellerie

Souhaitez-vous que nous explorions l'une de ces filières, ou avez-vous d'autres centres d'intérêt que nous pourrions valoriser dans votre orientation ?",SUCCÈS,réponse complète en texte libre (prérequis + métier)
TC-17,Multi-sources / multi-étapes,Explique pourquoi le modèle me recommande ce parcours et montre-moi le graphe des compétences associées.,L'agent enchaîne l'appel au modèle ML avec la recherche dans l'ontologie (rechercher_competences).,-,"Pour que je puisse t'expliquer les raisons d'une recommandation et te présenter les compétences associées, il est nécessaire que nous ayons d'abord établi ton profil et que j'aie pu générer une recommandation via l'outil `recommander_parcours`.

Actuellement, je n'ai pas encore assez d'informations sur ton parcours scolaire pour te proposer une orientation personnalisée.

Pour commencer, pourrais-tu me préciser **quelle est ta série de baccalauréat** ? (Réponds en choisissant parmi : c, d, s, a1, a2, l, ose, autre).

*Note : Pour toute information institutionnelle, je m'appuie sur le site officiel de l'ISPM — https://ispm-edu.com/*",SUCCÈS,réponse complète en texte libre (prérequis + métier)
TC-18,Multi-sources / multi-étapes,Si je choisis IGGLIA, quelles sont les compétences indispensables à valider pour devenir Chef de Projet IT ?,rechercher_docs,"C'est un excellent choix. Le parcours **IGGLIA (Gestion & Informatique)** est une formation hybride qui permet de piloter des projets numériques tout en intégrant une forte composante managériale.

Voici quelques informations clés sur ce parcours :
*   **Contenu :** Vous y étudierez la gestion, les mathématiques, la programmation et l'algorithmique.
*   **Compétences :** Vous développerez des capacités en organisation, gestion de projet, programmation et relationnel.
*   **Débouchés :** Ce cursus prépare notamment aux métiers de chef de projet, consultant ou développeur.
*   **Accessibilité :** Contrairement aux autres filières informatiques de l'ISPM, le parcours IGGLIA est ouvert aux bacheliers des séries **C, D, S** ainsi qu'aux bacheliers de la série **OSE**.

Source : Site officiel ISPM — https://ispm-edu.com/

Pour mieux vous accompagner, pourriez-vous me préciser votre série de baccalauréat ? (C, D, S, OSE, A1, A2, L ou autre).",SUCCÈS,réponse complète en texte libre (prérequis + métier)
TC-19,Multi-sources / multi-étapes,Quel est le parcours le plus adapté pour faire du Cloud Computing, et quels cours y sont dispensés ?,"rechercher_docs, rechercher_docs","Pour le domaine du Cloud Computing, les parcours du **Pôle Informatique & Télécommunications** de l'ISPM sont les plus pertinents.

Voici les options disponibles :
*   **ESIIA** (Électronique & Systèmes Embarqués)
*   **ISAIA** (Informatique & Statistiques Appliquées à l'IA)
*   **IMTICIA** (Multimédia & Technologies de l'Information)
*   **IGGLIA** (Gestion & Informatique)

**Informations importantes :**
*   **Accessibilité :** Ces parcours sont strictement réservés aux bacheliers des séries scientifiques (**C, D, S**). La filière **IGGLIA** est également accessible aux bacheliers de la série **OSE** (Économique).
*   **Source :** Site officiel ISPM — https://ispm-edu.com/

Pour mieux t'orienter et te recommander le parcours le plus adapté à ton profil, j'aurais besoin de quelques informations complémentaires. Peux-tu me préciser :
1. Quelle est ta série de baccalauréat ?
2. Quelle était ta moyenne générale approximative ?

*(Note : La décision finale d'admission relève exclusivement de la commission pédagogique de l'ISPM.)*",SUCCÈS,réponse complète en texte libre (prérequis + métier)
TC-20,Informations absentes,Quel est le taux d'insertion professionnelle exact du parcours TEE 5 ans après le diplôme ?,L'agent reconnaît l'absence de cette donnée statistique dans le corpus officiel sans inventer de chiffre.,rechercher_docs,"Je ne dispose pas d'une donnée statistique précise concernant le taux d'insertion professionnelle à 5 ans pour le parcours TEE (Tourisme & Environnement).

Les informations officielles disponibles sur le site de l'ISPM (Source : Site officiel ISPM — https://ispm-edu.com/) se concentrent sur le contenu pédagogique, les débouchés professionnels et les conditions d'admission.

Si vous souhaitez obtenir des informations plus détaillées sur les résultats d'insertion des diplômés, je vous recommande de contacter directement le service des relations extérieures ou le secrétariat de l'ISPM via leur site officiel, car ces indicateurs peuvent varier d'une promotion à l'autre.",SUCCÈS,incertitude correctement assumée (pas d'invention)
