id_anonyme,type_repondant,sexe,serie_bac,famille_bac,note_malagasy,note_francais,note_langue_vivante,note_hg,note_philosophie,note_mathematiques,note_spc,note_svt,note_ses,score_scientifique_dur,score_scientifique_naturel,score_litteraire,score_economique,moyenne_generale,mention_diplome,matiere_mathematiques,matiere_physique,matiere_informatique,matiere_svt,matiere_francais,matiere_malagasy,matiere_hg,matiere_ses,matiere_arts,matiere_autre,competence_logique,competence_programmation,competence_expression,competence_manuelle,competence_relationnelle,competence_creativite,competence_organisation,competence_esprit_critique,competence_autre,interet_technologie,interet_science,interet_art,interet_sante,interet_entrepreneuriat,interet_environnement,interet_social,interet_sport,interet_autre,experience_projet_prog,experience_stage,experience_association,experience_projet_perso,metier_vise,environnement,prerequis_bases_algo,prerequis_anglais,prerequis_maths_avancees,parcours_choisi,niveau_actuel,annee_fin_etudes,metier_exerce,anciennete_metier,satisfaction,referait_choix,commentaire_retrospectif
rep_synth_0243,etudiant,homme,d,scientifique,11,9,4,8,11,17,13,19,,15.0,19.0,8.6,,2,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,chef_de_projet_multimedia,bureau,1,1,1,esii,l1,0,,,5,oui,
rep_synth_0240,etudiant,homme,ose,economique,15,13,16,13,17,16,,,15,,,14.8,14.7,5,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,charge_etudes,bureau,0,1,1,emp,m2,0,,,4,oui,
rep_synth_0239,etudiant,femme,d,scientifique,10,9,13,11,10,10,13,15,,11.5,15.0,10.6,,2,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,developpeur,recherche,1,0,1,esii,l2,0,,,4,oui,
rep_synth_0356,professionnel,homme,c,scientifique,9,12,15,13,5,17,15,8,,16.0,8.0,10.8,,2,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,analyste_financier,bureau,0,0,1,fic,,2012,analyste_financier,133,4,oui,
rep_synth_0388,professionnel,femme,c,scientifique,9,14,15,8,10,19,16,14,,17.5,14.0,11.2,,3,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,technicien_production_vegetale,recherche,1,1,1,pip,,2015,horticulteur,101,4,oui,
rep_synth_0254,etudiant,homme,ose,economique,17,8,9,14,12,11,,,18,,,12.0,14.3,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,horticulteur,bureau,1,1,0,iggia,m1,0,,,3,oui,
rep_synth_0363,professionnel,femme,a2,litteraire,13,17,13,16,14,10,,,,,,14.6,,4,3,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,responsable_restauration,relationnel,0,0,1,teh,,2015,responsable_restauration,112,5,oui,
rep_synth_0238,etudiant,femme,s,scientifique,11,15,15,13,6,16,14,15,,15.0,15.0,12.0,,3,2,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,conducteur_travaux,terrain,1,1,1,gca,m2,0,,,5,oui,
rep_synth_0237,etudiant,femme,a1,litteraire,18,12,15,14,14,11,,,,,,14.6,,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,charge_etudes,bureau,0,1,0,emp,l1,0,,,5,oui,
rep_synth_0258,etudiant,femme,a1,litteraire,16,18,16,14,17,7,,,,,,16.2,,4,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,charge_etudes,bureau,1,1,0,emp,l1,0,,,3,oui,
rep_synth_0199,etudiant,homme,d,scientifique,7,9,16,12,8,14,11,16,,12.5,16.0,10.4,,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,developpeur,bureau,1,1,1,isaia,m1,0,,,5,oui,
rep_synth_0314,professionnel,homme,a2,litteraire,17,16,18,15,13,12,,,,,,15.8,,5,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,assistant_juridique,bureau,0,1,0,dtja,,2018,assistant_juridique,64,4,oui,
rep_synth_0307,professionnel,femme,a1,litteraire,16,15,20,13,16,12,,,,,,16.0,,5,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,assistant_juridique,bureau,0,1,0,dtja,,2016,juriste,110,5,oui,
rep_synth_0276,professionnel,homme,ose,economique,7,14,17,12,15,16,,,18,,,13.0,15.3,4,3,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,consultant,bureau,1,1,1,iggia,,2018,chef_de_projet,60,5,oui,
rep_synth_0339,professionnel,femme,s,scientifique,5,12,12,14,4,17,16,11,,16.5,11.0,9.4,,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,comptable,bureau,0,1,1,icmp,,2011,developpeur,38,2,non,
rep_synth_0265,professionnel,homme,d,scientifique,11,13,9,12,6,15,14,16,,14.5,16.0,10.2,,3,2,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,developpeur_web,bureau,1,1,1,imticia,,2020,chef_de_projet_multimedia,52,5,oui,
rep_synth_0091,etudiant,femme,a1,litteraire,14,14,19,15,16,10,,,,,,15.6,,4,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,assistant_juridique,bureau,0,1,1,dtja,m1,0,,,5,oui,
rep_synth_0192,etudiant,femme,a2,litteraire,14,12,14,11,13,7,,,,,,12.8,,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,economiste,bureau,0,1,0,emp,l3,0,,,3,non,
rep_synth_0018,etudiant,femme,s,scientifique,10,13,12,12,13,19,14,11,,16.5,11.0,12.0,,3,2,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,comptable,bureau,1,1,0,iggia,l1,0,,,5,oui,
rep_synth_0280,professionnel,homme,a2,litteraire,15,13,13,13,17,9,,,,,,14.2,,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,ecoguide,terrain,0,0,0,tee,,2008,economiste,75,2,non,
rep_synth_0034,etudiant,homme,ose,economique,10,12,13,15,7,15,,,18,,,11.4,16.0,3,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,commercial_export,bureau,0,0,1,caa,l3,0,,,5,oui,
rep_synth_0202,etudiant,homme,s,scientifique,15,10,8,8,14,16,13,14,,14.5,14.0,11.0,,3,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,horticulteur,terrain,0,1,1,pip,l1,0,,,4,oui,
rep_synth_0205,etudiant,homme,ose,economique,9,13,12,12,7,16,,,18,,,10.6,15.3,3,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,analyste_financier,bureau,0,1,1,fic,l2,0,,,5,oui,
rep_synth_0051,etudiant,homme,c,scientifique,6,15,15,14,14,19,17,10,,18.0,10.0,12.8,,4,3,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ingenieur_genie_civil,terrain,1,0,1,gca,l3,0,,,5,oui,
rep_synth_0120,etudiant,homme,s,scientifique,9,12,7,13,16,13,15,14,,14.0,14.0,11.4,,3,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,horticulteur,terrain,1,1,1,pip,l2,0,,,5,non,
rep_synth_0065,etudiant,homme,d,scientifique,12,12,11,7,9,11,10,20,,10.5,20.0,10.2,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,technicien_production_vegetale,terrain,0,1,0,pip,l1,0,,,5,oui,
rep_synth_0370,professionnel,femme,c,scientifique,5,8,13,10,14,19,13,13,,16.0,13.0,10.0,,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,ingenieur_genie_civil,bureau,1,1,1,gca,,2013,ingenieur_genie_civil,141,5,oui,
rep_synth_0106,etudiant,femme,c,scientifique,5,8,10,14,8,18,14,9,,16.0,9.0,9.0,,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,ingenieur_genie_civil,terrain,1,1,1,gca,l1,0,,,5,oui,
rep_synth_0222,etudiant,femme,c,scientifique,7,6,12,14,9,16,17,19,,16.5,19.0,9.6,,3,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,horticulteur,terrain,1,1,1,pip,m1,0,,,5,oui,
rep_synth_0320,professionnel,femme,s,scientifique,5,9,10,13,15,20,12,11,,16.0,11.0,10.4,,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,conducteur_travaux,bureau,1,1,1,gca,,2008,ingenieur_genie_civil,186,5,oui,
rep_synth_0139,etudiant,homme,ose,economique,8,11,9,13,7,17,,,18,,,9.6,16.0,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,chef_de_projet,bureau,1,1,1,iggia,l3,0,,,5,non,
rep_synth_0157,etudiant,femme,d,scientifique,9,14,14,13,11,14,12,19,,13.0,19.0,12.2,,3,2,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,controleur_qualite,terrain,0,1,1,iaa,m2,0,,,5,oui,
rep_synth_0248,etudiant,femme,d,scientifique,11,13,11,12,14,13,16,18,,14.5,18.0,12.2,,4,3,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,technicien_agroalimentaire,laboratoire,0,0,1,iaa,l2,0,,,5,oui,
rep_synth_0137,etudiant,femme,a1,litteraire,18,16,18,12,18,9,,,,,,16.4,,5,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,commercial_export,bureau,1,1,0,caa,m1,0,,,5,oui,
rep_synth_0133,etudiant,homme,s,scientifique,10,14,16,13,14,20,11,13,,15.5,13.0,13.4,,4,3,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,conducteur_travaux,terrain,1,1,1,gca,l3,0,,,5,oui,
rep_synth_0228,etudiant,homme,s,scientifique,6,3,15,17,5,16,15,14,,15.5,14.0,9.2,,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,agronome,recherche,0,1,1,aee,l1,0,,,4,oui,
rep_synth_0364,professionnel,homme,s,scientifique,9,14,7,13,11,17,16,10,,16.5,10.0,10.8,,3,2,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,developpeur_web,recherche,1,1,1,imticia,,2012,developpeur_web,131,5,oui,
rep_synth_0281,professionnel,femme,a2,litteraire,16,13,16,20,13,12,,,,,,15.6,,5,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,assistant_juridique,bureau,0,0,0,dtja,,2016,juriste,76,4,oui,
rep_synth_0368,professionnel,femme,c,scientifique,12,16,9,11,8,19,14,10,,16.5,10.0,11.2,,3,2,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ingenieur_genie_civil,terrain,1,1,1,gca,,2008,conducteur_travaux,197,5,oui,
rep_synth_0026,etudiant,femme,c,scientifique,8,11,17,11,12,17,15,15,,16.0,15.0,11.8,,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,horticulteur,terrain,0,1,1,pip,l1,0,,,5,oui,
rep_synth_0039,etudiant,homme,d,scientifique,9,13,12,16,8,12,8,17,,10.0,17.0,11.6,,2,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,conducteur_travaux,bureau,1,1,0,gca,m2,0,,,5,oui,
rep_synth_0283,professionnel,homme,s,scientifique,17,9,15,11,14,17,14,10,,15.5,10.0,13.2,,3,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,developpeur,bureau,1,1,1,isaia,,2011,ingenieur_ml,124,5,oui,
rep_synth_0077,etudiant,femme,s,scientifique,10,12,13,16,8,16,15,14,,15.5,14.0,11.8,,3,2,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,chef_de_projet,bureau,1,1,1,iggia,l1,0,,,5,oui,
rep_synth_0086,etudiant,homme,ose,economique,11,16,15,11,8,10,,,16,,,12.2,12.3,3,2,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,responsable_restauration,relationnel,0,1,0,teh,m1,0,,,4,oui,
rep_synth_0317,professionnel,femme,a2,litteraire,13,19,13,15,14,8,,,,,,14.8,,4,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,directeur_hotel,relationnel,0,1,0,teh,,2020,responsable_restauration,54,4,non,
rep_synth_0061,etudiant,femme,a2,litteraire,15,14,18,17,15,4,,,,,,15.8,,4,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,charge_affaires,relationnel,1,1,1,caa,m1,0,,,5,oui,
rep_synth_0196,etudiant,homme,a1,litteraire,16,13,17,15,14,12,,,,,,15.0,,4,3,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,assistant_juridique,relationnel,0,1,0,dtja,m1,0,,,4,oui,
rep_synth_0257,etudiant,homme,s,scientifique,19,9,11,19,12,20,16,9,,18.0,9.0,14.0,,4,3,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,chef_de_projet,recherche,1,1,1,iggia,m2,0,,,5,oui,
rep_synth_0225,etudiant,femme,s,scientifique,6,7,9,7,14,16,10,12,,13.0,12.0,8.6,,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ingenieur_genie_civil,terrain,1,0,1,gca,m2,0,,,5,oui,
rep_synth_0271,professionnel,femme,s,scientifique,11,9,5,14,13,11,16,11,,13.5,11.0,10.4,,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,ingenieur_materiaux,terrain,1,1,0,icmp,,2014,technicien_laboratoire,116,4,oui,
rep_synth_0300,professionnel,femme,d,scientifique,9,11,18,7,10,10,15,18,,12.5,18.0,11.0,,3,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,controleur_qualite,recherche,0,1,1,iaa,,2018,technicien_agroalimentaire,71,5,non,
rep_synth_0115,etudiant,homme,s,scientifique,10,13,13,13,13,11,12,15,,11.5,15.0,12.4,,3,2,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,comptable,bureau,1,0,0,fic,m2,0,,,4,oui,
rep_synth_0321,professionnel,homme,ose,economique,7,13,15,14,10,15,,,18,,,11.8,15.7,3,2,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,gestionnaire_tourisme,relationnel,0,1,0,tee,,2018,ecoguide,58,4,non,
rep_synth_0302,professionnel,homme,s,scientifique,5,15,9,13,6,17,13,14,,15.0,14.0,9.6,,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,developpeur,bureau,1,1,1,isaia,,2010,ingenieur_ml,176,5,oui,
rep_synth_0212,etudiant,homme,s,scientifique,5,11,11,11,11,15,14,14,,14.5,14.0,9.8,,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,chef_de_projet_multimedia,terrain,0,1,1,icmp,m2,0,,,4,oui,
rep_synth_0148,etudiant,homme,d,scientifique,12,6,12,13,8,16,15,17,,15.5,17.0,10.2,,3,2,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,developpeur,bureau,1,1,1,esii,m2,0,,,5,oui,
rep_synth_0167,etudiant,homme,a1,litteraire,17,15,17,17,17,5,,,,,,16.6,,4,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,juriste,relationnel,1,1,0,dtja,l1,0,,,4,oui,
rep_synth_0020,etudiant,homme,a1,litteraire,18,14,14,11,17,9,,,,,,14.8,,4,3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,technicien_superieur,terrain,0,1,0,tee,m2,0,,,4,oui,
rep_synth_0152,etudiant,femme,a1,litteraire,15,17,17,19,17,9,,,,,,17.0,,5,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,directeur_hotel,terrain,0,1,0,teh,m1,0,,,5,oui,
rep_synth_0392,professionnel,homme,s,scientifique,12,5,14,13,11,17,17,15,,17.0,15.0,11.0,,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,agronome,laboratoire,0,1,1,aee,,2015,agronome,113,5,oui,
rep_synth_0334,professionnel,homme,s,scientifique,10,15,11,9,12,20,15,12,,17.5,12.0,11.4,,3,2,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,developpeur,recherche,1,1,1,esii,,2009,ingenieur_electronique,171,5,oui,
rep_synth_0083,etudiant,femme,a1,litteraire,16,18,16,12,16,11,,,,,,15.6,,4,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,directeur_hotel,terrain,0,1,0,teh,m1,0,,,5,oui,
rep_synth_0033,etudiant,femme,a1,litteraire,14,16,17,12,16,13,,,,,,15.0,,4,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,charge_affaires,bureau,0,1,0,caa,l1,0,,,5,oui,
rep_synth_0127,etudiant,femme,c,scientifique,13,8,7,9,13,17,16,15,,16.5,15.0,10.0,,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,developpeur,terrain,0,0,1,aee,m2,0,,,5,oui,
rep_synth_0121,etudiant,homme,d,scientifique,6,10,6,11,12,10,15,15,,12.5,15.0,9.0,,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,technicien_laboratoire,terrain,0,0,0,icmp,m2,0,,,4,oui,
rep_synth_0241,etudiant,femme,s,scientifique,10,11,7,9,17,17,12,12,,14.5,12.0,10.8,,2,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,developpeur,bureau,1,0,1,isaia,m2,0,,,5,oui,
rep_synth_0041,etudiant,femme,l,litteraire,13,15,16,18,9,9,,,,,,14.2,,3,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,technicien_production_vegetale,relationnel,0,1,0,dtja,l1,0,,,3,non,
rep_synth_0068,etudiant,femme,s,scientifique,12,16,11,6,9,17,17,14,,17.0,14.0,10.8,,3,2,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,conducteur_travaux,terrain,1,1,1,gca,m2,0,,,4,oui,
rep_synth_0025,etudiant,homme,c,scientifique,9,11,7,6,6,17,18,11,,17.5,11.0,7.8,,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,ingenieur_materiaux,terrain,0,1,0,icmp,m2,0,,,5,oui,
